x,y,z
1213.98,6.28507,0
1231.94,12.402,0
1227.83,20.72,0
1219.69,27.6016,0
1221.5,34.9083,0
1221.28,41.9343,0
1215.01,48.9514,0
1206.72,55.5718,0
1220.34,63.5879,0
1234,70.351,0
1217.52,77.7297,0
1205.06,84.2453,0
1218.52,92.1157,0
1230.01,99.1536,0
1227.41,106.291,0
1234.74,114.085,0
1236.02,121.737,0
1215.27,128.052,0
1233.71,143.285,0
1224.89,149.646,0
1231.95,157.705,0
1234.95,165.557,0
1220.11,170.718,0
1217.08,177.795,0
1231.82,187.433,0
1234.67,195.141,0
1221.63,200.65,0
1218.51,207.221,0
1231.02,217.008,0
1243.52,226.595,0
1242.15,233.983,0
1234.9,239.98,0
1225.58,245.861,0
1222.21,252.385,0
1230.45,261.844,0
1230.88,269.345,0
1225.35,275.779,0
1225.61,283.626,0
1233.69,292.982,0
1237.75,301.731,0
1237.94,309.331,0
1226.39,314.202,0
1228.43,322.266,0
1234.19,331.757,0
1234.22,339.263,0
1239.85,348.878,0
1245.82,357.141,0
1235.68,363.356,0
1223.89,367.934,0
1219.84,374.382,0
1232.86,386.411,0
1251.92,399.117,0
1247.7,405.693,0
1231.94,408.813,0
1223.45,415.261,0
1222.93,422.945,0
1218.51,429.542,0
1216.02,436.544,0
1225.14,446.595,0
1223.57,462.308,0
1188.53,491.106,0
1178.31,494.837,0
1182.71,504.973,0
1181.62,512.564,0
1182.16,521.306,0
1181.02,528.802,0
1183.83,537.162,0
1184.25,545.864,0
1174.38,566.782,0
1159.73,569.474,0
1145.69,570.784,0
1131.57,572.169,0
1115.64,572.601,0
1096.36,570.698,0
1080.07,571.599,0
1062.76,586.798,0
1001.3,569.644,0
984.15,567.403,0
1045.03,617.82,0
1060.88,634.211,0
1063.87,644.753,0
1067.03,654.946,0
1068.15,664.548,0
1059.23,667.483,0
1048.5,669.462,0
1037.72,671.437,0
1023.1,671.898,0
1007.56,670.02,0
986.97,664.824,0
969.911,661.475,0
950.395,658.092,0
936.767,656.66,0
935.995,731.613,0
928.633,734.504,0
922.69,738.761,0
922.872,748.099,0
1201.08,1023.47,0
1190.63,1026.45,0
1181.49,1030.87,0
1178.54,1040.3,0
1175.22,1050.07,0
1161.54,1050.33,0
1145.15,1047.54,0
1128.63,1044.82,0
1117.01,1048.48,0
1108.16,1052.03,0
1096.02,1053.16,0
1082.57,1052.68,0
1069.37,1051.88,0
1057.33,1052.67,0
1045.72,1052.96,0
1032.34,1052.12,0
1020.39,1052.59,0
1010.27,1054.02,0
998.386,1054.29,0
987.091,1056.68,0
974.212,1054.99,0
963.879,1056.33,0
953.464,1057.68,0
